parameter,sparsity,top1,top5,loss
module.layer2.1.conv2.weight,0.1,76.12400000000001,92.864,0.9646548948877929
module.layer2.1.conv2.weight,0.15000000000000002,76.128,92.85600000000001,0.964603978152178
module.layer2.1.conv2.weight,0.2,76.152,92.85799999999999,0.9647160635462826
module.layer2.1.conv2.weight,0.25,76.15,92.862,0.9646609436188427
module.layer2.1.conv2.weight,0.30000000000000004,76.154,92.842,0.964902147118534
module.layer2.1.conv2.weight,0.35000000000000003,76.154,92.852,0.9650473526241824
module.layer2.1.conv2.weight,0.4,76.114,92.854,0.9650291243225945
module.layer2.1.conv2.weight,0.45,76.112,92.83,0.9655940997965485
module.layer2.1.conv2.weight,0.5,76.068,92.85799999999999,0.9664762251231133
module.layer2.1.conv2.weight,0.55,76.066,92.848,0.9672036562495089
module.layer2.1.conv2.weight,0.6000000000000001,76.028,92.81,0.9691279938786614
module.layer2.1.conv2.weight,0.65,75.972,92.824,0.971512615148511
module.layer2.1.conv2.weight,0.7000000000000001,75.856,92.754,0.9776836953753114
module.layer2.1.conv2.weight,0.75,75.666,92.66799999999999,0.9842487836674771
module.layer2.1.conv2.weight,0.8,75.53,92.608,0.9915983727848041
module.layer2.1.conv2.weight,0.8500000000000001,75.13,92.386,1.0098081224274877
module.layer2.1.conv2.weight,0.9,73.736,91.658,1.0649557390383302
module.layer2.1.conv3.weight,0.0,76.13,92.862,0.9646787427517838
module.layer2.1.conv3.weight,0.05,76.13,92.862,0.9646799644189216
module.layer2.1.conv3.weight,0.1,76.13600000000001,92.866,0.9646916506545881
module.layer2.1.conv3.weight,0.15000000000000002,76.132,92.862,0.9646575294282967
module.layer2.1.conv3.weight,0.2,76.134,92.868,0.9646494206117123
module.layer2.1.conv3.weight,0.25,76.13,92.864,0.964670691259053
module.layer2.1.conv3.weight,0.30000000000000004,76.122,92.866,0.964656668810212
module.layer2.1.conv3.weight,0.35000000000000003,76.12400000000001,92.878,0.9645405332652892
module.layer2.1.conv3.weight,0.4,76.112,92.86999999999999,0.9645565647099704
module.layer2.1.conv3.weight,0.45,76.11,92.876,0.9645138367706414
module.layer2.1.conv3.weight,0.5,76.092,92.88,0.9645984628979041
module.layer2.1.conv3.weight,0.55,76.116,92.88,0.9644464816974135
module.layer2.1.conv3.weight,0.6000000000000001,76.144,92.876,0.9641133394776562
module.layer2.1.conv3.weight,0.65,76.102,92.868,0.9642081859768654
module.layer2.1.conv3.weight,0.7000000000000001,76.048,92.886,0.9643184565463845
module.layer2.1.conv3.weight,0.75,76.044,92.884,0.9643960884791246
module.layer2.1.conv3.weight,0.8,76.028,92.864,0.9654007078129417
module.layer2.1.conv3.weight,0.8500000000000001,75.92999999999999,92.84599999999999,0.9674795176453741
module.layer2.1.conv3.weight,0.9,75.67,92.738,0.9756030637998971
module.layer2.2.conv1.weight,0.0,76.13,92.862,0.9646787427517838
module.layer2.2.conv1.weight,0.05,76.134,92.86,0.9646867170017587
module.layer2.2.conv1.weight,0.1,76.13600000000001,92.85799999999999,0.9646702625465635
module.layer2.2.conv1.weight,0.15000000000000002,76.116,92.88,0.9646320710224766
module.layer2.2.conv1.weight,0.2,76.102,92.878,0.9645901561087493
module.layer2.2.conv1.weight,0.25,76.11,92.88,0.9647314087012592
module.layer2.2.conv1.weight,0.30000000000000004,76.098,92.84599999999999,0.9648715033366972
module.layer2.2.conv1.weight,0.35000000000000003,76.076,92.862,0.9648150898212073
module.layer2.2.conv1.weight,0.4,76.08,92.862,0.9650125887473021
module.layer2.2.conv1.weight,0.45,76.072,92.85799999999999,0.9652638551684058
module.layer2.2.conv1.weight,0.5,76.112,92.85,0.9659173132053444
module.layer2.2.conv1.weight,0.55,76.064,92.83200000000001,0.966677917053505
module.layer2.2.conv1.weight,0.6000000000000001,76.042,92.822,0.9678825545980004
module.layer2.2.conv1.weight,0.65,76.012,92.83399999999999,0.9691983728992698
module.layer2.2.conv1.weight,0.7000000000000001,76.012,92.83200000000001,0.9702521336778086
module.layer2.2.conv1.weight,0.75,75.936,92.808,0.9722271839878996
